run,case,system,outcome,completion_status,termination_reason,budget_status,has_candidate,review_notes,test_methods,statement_chars,input_tokens,output_tokens,model_calls,tool_calls,agent_turns,duration_ms
dev19-20260731,bicycle-share-summary,artemis,succeeded,NEEDS_REVIEW,REVIEW_UNAVAILABLE,compliant,yes,3,4,3019,582374,42912,59,41,,781505
dev19-20260731,collections,artemis,succeeded,NEEDS_REVIEW,TOKEN_BUDGET_EXHAUSTED,compliant,yes,3,7,5081,2910971,91217,174,154,,1959054
dev19-20260731,encapsulation,artemis,failed,none,AGENT_ERROR,compliant,no,0,0,0,136401,38300,23,9,,570909
dev19-20260731,enum-dispatch,artemis,failed,none,UNCHANGED_CANDIDATE_RESUBMITTED,compliant,no,0,0,0,2098539,110737,164,137,,2005294
dev19-20260731,generics,artemis,failed,none,AGENT_ERROR,compliant,no,0,0,0,23602,23655,10,,,351702
dev19-20260731,graph-cycles,artemis,succeeded,NEEDS_REVIEW,NO_SCHEDULABLE_SURFACE,compliant,yes,4,6,2478,429446,57147,52,28,,1066272
dev19-20260731,immutable-value,artemis,succeeded,NEEDS_REVIEW,DEADLINE_EXCEEDED,compliant,yes,7,15,3528,1519502,125269,139,93,,2778780
dev19-20260731,inheritance,artemis,succeeded,NEEDS_REVIEW,NO_SCHEDULABLE_SURFACE,compliant,yes,5,12,3549,866185,49488,76,59,,973582
dev19-20260731,interface-default,artemis,failed,none,MECHANICAL_REPAIR_EXHAUSTED,compliant,no,0,0,0,2116130,71751,161,149,,1519709
dev19-20260731,interval-merge,artemis,succeeded,NEEDS_REVIEW,NO_SCHEDULABLE_SURFACE,compliant,yes,5,8,3320,2140466,113279,170,139,,2335052
dev19-20260731,intro-conditionals,artemis,failed,none,AGENT_ERROR,compliant,no,0,0,0,16950,16940,9,,,256508
dev19-20260731,intro-formatting,artemis,succeeded,NEEDS_REVIEW,NO_SCHEDULABLE_SURFACE,compliant,yes,4,7,2284,450324,53187,55,34,,1045865
dev19-20260731,library-checkout,artemis,succeeded,NEEDS_REVIEW,NO_SCHEDULABLE_SURFACE,compliant,yes,1,4,2640,471487,33135,50,39,,621430
dev19-20260731,playlist-strategy,artemis,failed,none,TOKEN_BUDGET_EXHAUSTED,compliant,no,0,0,0,2929061,76979,153,141,,1570273
dev19-20260731,recursion,artemis,failed,none,AGENT_ERROR,compliant,no,0,0,0,9366,9754,4,,,150845
dev19-20260731,robot-rover,artemis,succeeded,NEEDS_REVIEW,TOKEN_BUDGET_EXHAUSTED,compliant,yes,8,7,3438,2885728,130043,190,158,,2680582
dev19-20260731,state-machine,artemis,succeeded,NEEDS_REVIEW,REVIEW_UNAVAILABLE,compliant,yes,1,5,2763,655160,65509,75,45,,1378779
dev19-20260731,streams,artemis,failed,none,AGENT_ERROR,compliant,no,0,0,0,17474,16844,9,,,255923
dev19-20260731,string-parsing,artemis,succeeded,SUCCESS,CONVERGED,compliant,yes,0,12,4164,1439930,73954,114,90,,1557499
twoarm-20260801,encapsulation,artemis-draft,succeeded,NEEDS_REVIEW,DEADLINE_EXCEEDED,unverifiable,yes,8,3,2428,350196,36765,40,24,29,777737
twoarm-20260801,encapsulation,artemis-standard,succeeded,NEEDS_REVIEW,DEADLINE_EXCEEDED,unverifiable,yes,7,14,3097,1936146,112601,156,112,120,2740367
twoarm-20260801,intro-conditionals,artemis-draft,failed,none,AGENT_ERROR,unverifiable,no,0,0,0,16952,14461,9,,2,227380
twoarm-20260801,intro-conditionals,artemis-standard,succeeded,SUCCESS,CONVERGED,unverifiable,yes,4,5,1704,475983,31555,53,35,41,644601
twoarm-20260801,recursion,artemis-draft,failed,none,AGENT_ERROR,unverifiable,no,0,0,0,15468,14506,7,,2,226997
twoarm-20260801,recursion,artemis-standard,failed,none,AGENT_ERROR,unverifiable,no,0,0,0,14535,16268,8,,2,253754
