observation_id,case_id,system_id,replicate,lifecycle,outcome,strict_accepted,evaluator_strict_accepted,candidate_produced,generation_completed,cost_usd,generation_duration_seconds
claude-opus-direct-bounded-counter-1,bounded-counter,claude-opus-direct,1,completed,accepted,true,true,true,true,0.76,118
claude-opus-direct-bounded-counter-2,bounded-counter,claude-opus-direct,2,completed,accepted,true,true,true,true,0.76,118
claude-opus-direct-library-catalog-1,library-catalog,claude-opus-direct,1,completed,accepted,true,true,true,true,0.76,118
claude-opus-direct-library-catalog-2,library-catalog,claude-opus-direct,2,completed,accepted,true,true,true,true,0.76,118
claude-opus-direct-temperature-series-1,temperature-series,claude-opus-direct,1,completed,accepted,true,true,true,true,0.76,118
claude-opus-direct-temperature-series-2,temperature-series,claude-opus-direct,2,completed,accepted,true,true,true,true,0.76,118
claude-opus-direct-route-planner-1,route-planner,claude-opus-direct,1,completed,accepted,true,true,true,true,0.76,118
claude-opus-direct-route-planner-2,route-planner,claude-opus-direct,2,completed,quality_failed,false,false,true,true,0.76,118
claude-opus-direct-reservation-ledger-1,reservation-ledger,claude-opus-direct,1,completed,accepted,true,true,true,true,0.76,118
claude-opus-direct-reservation-ledger-2,reservation-ledger,claude-opus-direct,2,completed,quality_failed,false,false,true,true,0.76,118
claude-opus-direct-discount-policy-1,discount-policy,claude-opus-direct,1,completed,accepted,true,true,true,true,0.76,118
claude-opus-direct-discount-policy-2,discount-policy,claude-opus-direct,2,completed,quality_failed,false,false,true,true,0.76,118
claude-opus-reviewed-bounded-counter-1,bounded-counter,claude-opus-reviewed,1,completed,accepted,true,true,true,true,0.94,151
claude-opus-reviewed-bounded-counter-2,bounded-counter,claude-opus-reviewed,2,completed,accepted,true,true,true,true,0.94,151
claude-opus-reviewed-library-catalog-1,library-catalog,claude-opus-reviewed,1,completed,accepted,true,true,true,true,0.94,151
claude-opus-reviewed-library-catalog-2,library-catalog,claude-opus-reviewed,2,completed,accepted,true,true,true,true,0.94,151
claude-opus-reviewed-temperature-series-1,temperature-series,claude-opus-reviewed,1,completed,accepted,true,true,true,true,0.94,151
claude-opus-reviewed-temperature-series-2,temperature-series,claude-opus-reviewed,2,completed,accepted,true,true,true,true,0.94,151
claude-opus-reviewed-route-planner-1,route-planner,claude-opus-reviewed,1,completed,accepted,true,true,true,true,0.94,151
claude-opus-reviewed-route-planner-2,route-planner,claude-opus-reviewed,2,completed,accepted,true,true,true,true,0.94,151
claude-opus-reviewed-reservation-ledger-1,reservation-ledger,claude-opus-reviewed,1,completed,accepted,true,true,true,true,0.94,151
claude-opus-reviewed-reservation-ledger-2,reservation-ledger,claude-opus-reviewed,2,completed,quality_failed,false,false,true,true,0.94,151
claude-opus-reviewed-discount-policy-1,discount-policy,claude-opus-reviewed,1,completed,accepted,true,true,true,true,0.94,151
claude-opus-reviewed-discount-policy-2,discount-policy,claude-opus-reviewed,2,completed,quality_failed,false,false,true,true,0.94,151
claude-sonnet-direct-bounded-counter-1,bounded-counter,claude-sonnet-direct,1,completed,accepted,true,true,true,true,0.24,72
claude-sonnet-direct-bounded-counter-2,bounded-counter,claude-sonnet-direct,2,completed,accepted,true,true,true,true,0.24,72
claude-sonnet-direct-library-catalog-1,library-catalog,claude-sonnet-direct,1,completed,accepted,true,true,true,true,0.24,72
claude-sonnet-direct-library-catalog-2,library-catalog,claude-sonnet-direct,2,completed,accepted,true,true,true,true,0.24,72
claude-sonnet-direct-temperature-series-1,temperature-series,claude-sonnet-direct,1,completed,accepted,true,true,true,true,0.24,72
claude-sonnet-direct-temperature-series-2,temperature-series,claude-sonnet-direct,2,completed,quality_failed,false,false,true,true,0.24,72
claude-sonnet-direct-route-planner-1,route-planner,claude-sonnet-direct,1,completed,accepted,true,true,true,true,0.24,72
claude-sonnet-direct-route-planner-2,route-planner,claude-sonnet-direct,2,completed,quality_failed,false,false,true,true,0.24,72
claude-sonnet-direct-reservation-ledger-1,reservation-ledger,claude-sonnet-direct,1,completed,accepted,true,true,true,true,0.24,72
claude-sonnet-direct-reservation-ledger-2,reservation-ledger,claude-sonnet-direct,2,completed,quality_failed,false,false,true,true,0.24,72
claude-sonnet-direct-discount-policy-1,discount-policy,claude-sonnet-direct,1,completed,accepted,true,true,true,true,0.24,72
claude-sonnet-direct-discount-policy-2,discount-policy,claude-sonnet-direct,2,completed,quality_failed,false,false,true,true,0.24,72
claude-sonnet-reviewed-bounded-counter-1,bounded-counter,claude-sonnet-reviewed,1,completed,accepted,true,true,true,true,0.32,96
claude-sonnet-reviewed-bounded-counter-2,bounded-counter,claude-sonnet-reviewed,2,completed,accepted,true,true,true,true,0.32,96
claude-sonnet-reviewed-library-catalog-1,library-catalog,claude-sonnet-reviewed,1,completed,accepted,true,true,true,true,0.32,96
claude-sonnet-reviewed-library-catalog-2,library-catalog,claude-sonnet-reviewed,2,completed,accepted,true,true,true,true,0.32,96
claude-sonnet-reviewed-temperature-series-1,temperature-series,claude-sonnet-reviewed,1,completed,accepted,true,true,true,true,0.32,96
claude-sonnet-reviewed-temperature-series-2,temperature-series,claude-sonnet-reviewed,2,completed,accepted,true,true,true,true,0.32,96
claude-sonnet-reviewed-route-planner-1,route-planner,claude-sonnet-reviewed,1,completed,accepted,true,true,true,true,0.32,96
claude-sonnet-reviewed-route-planner-2,route-planner,claude-sonnet-reviewed,2,completed,quality_failed,false,false,true,true,0.32,96
claude-sonnet-reviewed-reservation-ledger-1,reservation-ledger,claude-sonnet-reviewed,1,completed,accepted,true,true,true,true,0.32,96
