observation_id,case_id,system_id,replicate,evaluator_id,metric_id,metric_version,score_status,value,numerator,denominator
claude-opus-direct-bounded-counter-1,bounded-counter,claude-opus-direct,1,demo-oracle,oracle.satisfied,1,ok,true,,
claude-opus-direct-bounded-counter-1,bounded-counter,claude-opus-direct,1,demo-oracle,coverage.statement,1,ok,0.55,,
claude-opus-direct-bounded-counter-1,bounded-counter,claude-opus-direct,1,demo-oracle,tests.count,1,ok,6,,
claude-opus-direct-bounded-counter-1,bounded-counter,claude-opus-direct,1,demo-consistency,consistency.satisfied,1,ok,false,,
claude-opus-direct-bounded-counter-1,bounded-counter,claude-opus-direct,1,demo-consistency,consistency.residual_count,1,ok,1,,
claude-opus-direct-bounded-counter-2,bounded-counter,claude-opus-direct,2,demo-oracle,oracle.satisfied,1,ok,true,,
claude-opus-direct-bounded-counter-2,bounded-counter,claude-opus-direct,2,demo-oracle,coverage.statement,1,ok,0.92,,
claude-opus-direct-bounded-counter-2,bounded-counter,claude-opus-direct,2,demo-oracle,tests.count,1,ok,13,,
claude-opus-direct-bounded-counter-2,bounded-counter,claude-opus-direct,2,demo-consistency,consistency.satisfied,1,ok,true,,
claude-opus-direct-bounded-counter-2,bounded-counter,claude-opus-direct,2,demo-consistency,consistency.residual_count,1,ok,0,,
claude-opus-direct-library-catalog-1,library-catalog,claude-opus-direct,1,demo-oracle,oracle.satisfied,1,ok,true,,
claude-opus-direct-library-catalog-1,library-catalog,claude-opus-direct,1,demo-oracle,coverage.statement,1,ok,0.88,,
claude-opus-direct-library-catalog-1,library-catalog,claude-opus-direct,1,demo-oracle,tests.count,1,ok,20,,
claude-opus-direct-library-catalog-1,library-catalog,claude-opus-direct,1,demo-consistency,consistency.satisfied,1,ok,true,,
claude-opus-direct-library-catalog-1,library-catalog,claude-opus-direct,1,demo-consistency,consistency.residual_count,1,ok,0,,
claude-opus-direct-library-catalog-2,library-catalog,claude-opus-direct,2,demo-oracle,oracle.satisfied,1,ok,true,,
claude-opus-direct-library-catalog-2,library-catalog,claude-opus-direct,2,demo-oracle,coverage.statement,1,ok,0.84,,
claude-opus-direct-library-catalog-2,library-catalog,claude-opus-direct,2,demo-oracle,tests.count,1,ok,12,,
claude-opus-direct-library-catalog-2,library-catalog,claude-opus-direct,2,demo-consistency,consistency.satisfied,1,ok,false,,
claude-opus-direct-library-catalog-2,library-catalog,claude-opus-direct,2,demo-consistency,consistency.residual_count,1,ok,4,,
claude-opus-direct-temperature-series-1,temperature-series,claude-opus-direct,1,demo-oracle,oracle.satisfied,1,ok,true,,
claude-opus-direct-temperature-series-1,temperature-series,claude-opus-direct,1,demo-oracle,coverage.statement,1,ok,0.8,,
claude-opus-direct-temperature-series-1,temperature-series,claude-opus-direct,1,demo-oracle,tests.count,1,ok,19,,
claude-opus-direct-temperature-series-1,temperature-series,claude-opus-direct,1,demo-consistency,consistency.satisfied,1,ok,true,,
claude-opus-direct-temperature-series-1,temperature-series,claude-opus-direct,1,demo-consistency,consistency.residual_count,1,ok,0,,
claude-opus-direct-temperature-series-2,temperature-series,claude-opus-direct,2,demo-oracle,oracle.satisfied,1,ok,true,,
claude-opus-direct-temperature-series-2,temperature-series,claude-opus-direct,2,demo-oracle,coverage.statement,1,ok,0.76,,
claude-opus-direct-temperature-series-2,temperature-series,claude-opus-direct,2,demo-oracle,tests.count,1,ok,11,,
claude-opus-direct-temperature-series-2,temperature-series,claude-opus-direct,2,demo-consistency,consistency.satisfied,1,ok,true,,
claude-opus-direct-temperature-series-2,temperature-series,claude-opus-direct,2,demo-consistency,consistency.residual_count,1,ok,0,,
claude-opus-direct-route-planner-1,route-planner,claude-opus-direct,1,demo-oracle,oracle.satisfied,1,ok,true,,
claude-opus-direct-route-planner-1,route-planner,claude-opus-direct,1,demo-oracle,coverage.statement,1,ok,0.72,,
claude-opus-direct-route-planner-1,route-planner,claude-opus-direct,1,demo-oracle,tests.count,1,ok,18,,
claude-opus-direct-route-planner-1,route-planner,claude-opus-direct,1,demo-consistency,consistency.satisfied,1,ok,false,,
claude-opus-direct-route-planner-1,route-planner,claude-opus-direct,1,demo-consistency,consistency.residual_count,1,ok,1,,
claude-opus-direct-route-planner-2,route-planner,claude-opus-direct,2,demo-oracle,oracle.satisfied,1,ok,false,,
claude-opus-direct-route-planner-2,route-planner,claude-opus-direct,2,demo-oracle,coverage.statement,1,not_applicable,,,
claude-opus-direct-route-planner-2,route-planner,claude-opus-direct,2,demo-oracle,tests.count,1,ok,10,,
claude-opus-direct-route-planner-2,route-planner,claude-opus-direct,2,demo-consistency,consistency.satisfied,1,ok,true,,
claude-opus-direct-route-planner-2,route-planner,claude-opus-direct,2,demo-consistency,consistency.residual_count,1,ok,0,,
claude-opus-direct-reservation-ledger-1,reservation-ledger,claude-opus-direct,1,demo-oracle,oracle.satisfied,1,ok,true,,
claude-opus-direct-reservation-ledger-1,reservation-ledger,claude-opus-direct,1,demo-oracle,coverage.statement,1,ok,0.64,,
claude-opus-direct-reservation-ledger-1,reservation-ledger,claude-opus-direct,1,demo-oracle,tests.count,1,ok,17,,
claude-opus-direct-reservation-ledger-1,reservation-ledger,claude-opus-direct,1,demo-consistency,consistency.satisfied,1,ok,true,,
claude-opus-direct-reservation-ledger-1,reservation-ledger,claude-opus-direct,1,demo-consistency,consistency.residual_count,1,ok,0,,
claude-opus-direct-reservation-ledger-2,reservation-ledger,claude-opus-direct,2,demo-oracle,oracle.satisfied,1,ok,false,,
claude-opus-direct-reservation-ledger-2,reservation-ledger,claude-opus-direct,2,demo-oracle,coverage.statement,1,ok,0.6,,
claude-opus-direct-reservation-ledger-2,reservation-ledger,claude-opus-direct,2,demo-oracle,tests.count,1,ok,9,,
